StateCountMax,StateCountMin,StateCountAverage,TotalStateCount,NewSteateCount,Iteration,ExplainedVariance,NumTrajs,NumSamples,Entropy,Perplexity,AverageDiscountedReturn,ReturnAverage,ReturnMax,ReturnMin,RawReturnAverage,RawReturnMax,RawReturnMin,PathLenAverage,PathLenMax,PathLenMin,BonusRewardMax,BonusRewardMin,BonusRewardAverage,pi_opt_LossBefore,pi_opt_LossAfter,pi_opt_MeanKL,pi_opt_dLoss,pi_opt_bktrk_iters,vf_opt_LossBefore,vf_opt_LossAfter,vf_opt_MeanKL,vf_opt_dLoss,vf_opt_bktrk_iters,vf_LossBefore,vf_LossAfter,vf_dLoss,vf_MeanKL,ElapsedTime
1,1,1.0,103,11,0,-0.047213832557195134,270,104207,2.7422994949046813,15.52263831614626,3.0354227625644596,12.204869190117183,32.82444211254727,5.31262646908289,0.0,0.0,0.0,385.95185185185187,1038,168,0.0316227766016838,0.0316227766016838,0.0316227766016838,1.4745157869252702e-17,-0.0046952765027555516,0.00991193768072055,0.004695276502755566,0,1.500694057779303,1.3892142937285386,0.008358854752148037,0.11147976405076454,0,1.500694057779303,1.3892142937285386,0.11147976405076454,0.008358854752148037,57.812840700149536
8032,2,2561.4791754473354,103,0,1,-87.38954381254511,209,104396,2.7653228502644707,15.884167370517766,0.08279295592226318,0.445507145405381,1.2660905666658702,0.12116182947326148,0.0,0.0,0.0,499.5023923444976,1224,174,0.022360679774997897,0.000352848398086023,0.0008919019252626986,-1.6650444082748495e-16,-0.0035328004163073,0.007437178151014636,0.0035328004163071333,1,1.4175812250322415,1.3336585380791957,0.009292723674013365,0.08392268695304583,0,1.4175812250322415,1.3336585380791957,0.08392268695304583,0.009292723674013365,75.38660216331482
15966,3,4970.051926705441,103,0,2,0.20326112626688064,212,102818,2.7501464582897666,15.644923045077034,0.05774799142969434,0.29464997075235183,0.7604843026142498,0.10465986914464455,0.0,0.0,0.0,484.99056603773585,1229,174,0.018257418583505543,0.00025026604909090465,0.0006075375303886336,-5.973422719977399e-18,-0.004339594111520346,0.006722441266390854,0.00433959411152034,1,1.3224624722574039,1.2537190726617244,0.007274521549804647,0.06874339959567943,1,1.3224624722574039,1.2537190726617244,0.06874339959567943,0.007274521549804647,92.76891231536865
22633,1,6491.684302412428,104,1,3,0.33960729846763327,155,107112,2.736585443168522,15.434194085824759,0.04780570001220677,0.3376706838121529,1.1947975660904757,0.09521409429308016,0.0,0.0,0.0,691.0451612903225,2426,209,0.0316227766016838,0.0002101981736674706,0.0004886376502248462,-7.229841326242992e-17,-0.0038172850682826475,0.007994107525450468,0.003817285068282575,1,1.2635303722180917,1.1982446011790948,0.008122290810724695,0.06528577103899691,1,1.2635303722180917,1.1982446011790948,0.06528577103899691,0.008122290810724695,111.16703367233276
26905,4,9279.140566789612,104,0,4,0.3590895018218262,125,107906,2.737151741740726,15.442936923193189,0.04084207331098267,0.34289198751065436,0.9859230727270515,0.12148305280262199,0.0,0.0,0.0,863.248,2649,269,0.0158113883008419,0.00019278955540750678,0.0003972114473600352,-1.4219118677663623e-18,-0.0038604416436151217,0.006973017461000748,0.0038604416436151204,1,1.2399437875720951,1.1821419970276892,0.007750332997344058,0.05780179054440593,1,1.2399437875720951,1.1821419970276892,0.05780179054440593,0.007750332997344058,129.82076025009155
29892,5,12656.810053736112,104,0,5,0.4393113673241448,138,110168,2.7443502184883,15.55450361891774,0.03731159159464009,0.28144633687707715,0.9093455405772597,0.10280256831584153,0.0,0.0,0.0,798.3188405797101,2670,244,0.014142135623730952,0.00018290370935044562,0.0003525487844840297,-1.5264458058598902e-17,-0.004327946205787441,0.007152298942981037,0.004327946205787425,1,1.184488199058263,1.1327606437660385,0.007155120371234604,0.0517275552922245,1,1.184488199058263,1.1327606437660385,0.0517275552922245,0.007155120371234604,149.9607129096985
39028,1,14009.376245745372,173,69,6,-1.0844034045711681,199,106061,2.754206217890668,15.70856677332027,0.03975094930076807,0.2698574858946324,8.41650658140215,0.06174283454487714,0.0,0.0,0.0,532.9698492462312,1312,176,0.0316227766016838,0.0001600707028370077,0.0005063278650308015,1.7447169329857148e-17,-0.00483322982076776,0.007907261646689305,0.004833229820767777,1,1.6788009140973503,1.5580392637480391,0.006509563017846213,0.12076165034931119,1,1.6788009140973503,1.5580392637480391,0.12076165034931119,0.006509563017846213,168.29627203941345
43878,1,15247.2030534942,185,12,7,-0.7401963359466104,244,103357,2.762429839748634,15.838280714572708,0.03613994729019636,0.1876362142029147,7.344254184903182,0.06280803453231795,0.0,0.0,0.0,423.594262295082,1691,185,0.0316227766016838,0.00015096511010715655,0.0004429621241474807,2.5248209791126195e-18,-0.005028795716604477,0.009791270377186781,0.00502879571660448,0,1.561746272563622,1.4346912071003197,0.00843469364785829,0.12705506546330225,0,1.561746272563622,1.4346912071003197,0.12705506546330225,0.00843469364785829,185.62992024421692
46435,1,17501.220022306323,196,2,8,-0.14942807988708817,256,104903,2.750659502317219,15.652951638740177,0.032548711747024804,0.1772825566825402,5.698319257978468,0.061061218860901434,0.0,0.0,0.0,409.77734375,1411,186,0.0316227766016838,0.00014674971789686815,0.00043263142627694413,-2.0443817780887246e-17,-0.0028765028267471095,0.006107611185365066,0.002876502826747089,2,1.444639513695417,1.3500134409605167,0.006249266648957987,0.09462607273490042,0,1.444639513695417,1.3500134409605167,0.09462607273490042,0.006249266648957987,202.76654481887817
54609,1,20277.041639375842,214,18,9,0.15236639165297894,246,103820,2.7579291538144095,15.767157758439003,0.03141972312275359,0.19259764491867404,6.697383165156139,0.05140089524943432,0.0,0.0,0.0,422.0325203252033,1132,184,0.0316227766016838,0.00013532183805101084,0.0004563573555191077,-4.3590984329294285e-17,-0.004133542806944715,0.007346100740311334,0.004133542806944671,1,1.3705617215685335,1.2880857786460558,0.006590824668165225,0.08247594292247773,1,1.3705617215685335,1.2880857786460558,0.08247594292247773,0.006590824668165225,220.41872715950012
63508,1,23081.108506630644,214,0,10,0.1527690527162554,240,105118,2.770256539054149,15.962728547850418,0.029976440643471037,0.17282356334741864,3.366780674170104,0.0493035139890991,0.0,0.0,0.0,437.9916666666667,1436,187,0.0316227766016838,0.00012548325681945285,0.00039458185280713564,6.798133069790409e-17,-0.004179267928390431,0.008948469935574958,0.0041792679283904986,1,1.274391048081175,1.1799608252003608,0.009256994064451475,0.09443022288081426,0,1.274391048081175,1.1799608252003608,0.09443022288081426,0.009256994064451475,237.87491941452026
72832,1,25801.265815739327,215,1,11,0.5218358725325021,252,106002,2.7746047691919977,16.032289288659957,0.02838690102852758,0.189989482744092,2.6062544042783906,0.04614839483297082,0.0,0.0,0.0,420.64285714285717,1150,186,0.0316227766016838,0.00011717605758431098,0.0004516645879465597,-8.082637699747197e-17,-0.004673578154099468,0.006726155471957163,0.004673578154099387,1,1.2138741452834658,1.1320706274336008,0.007466215156733345,0.08180351784986506,1,1.2138741452834658,1.1320706274336008,0.08180351784986506,0.007466215156733345,255.38065266609192
83429,1,25600.142762025243,271,56,12,-11.682634906553792,222,105133,2.7748220582249967,16.035773307802117,0.034708663783594926,1.0162457671056275,48.96625875263071,0.04490203516002353,0.9009009009009009,100.0,0.0,473.57207207207205,2821,181,0.0316227766016838,0.0001094816870381224,0.0021268922250620706,2.4151011206739054e-16,-0.004568265860675187,0.006702961729868799,0.004568265860675428,1,1.2625093929835758,1.1737994042276907,0.006584026748994491,0.0887099887558851,1,1.2625093929835758,1.1737994042276907,0.0887099887558851,0.006584026748994491,273.5734820365906
93515,1,28912.013930783796,275,4,13,-9.132188988510547,225,105091,2.775199627033971,16.04182905879033,0.02880635731736233,0.24423575933914063,6.336736550885367,0.04232577123728146,0.4444444444444444,100.0,0.0,467.0711111111111,3480,180,0.0316227766016838,0.0001034092434725566,0.000513393590805175,-3.029446427776973e-17,-0.004765358373011815,0.009584290121821167,0.004765358373011785,0,1.199881537763497,1.1328349992842923,0.008941293858434493,0.06704653847920472,0,1.199881537763497,1.1328349992842923,0.06704653847920472,0.008941293858434493,291.3923008441925
104287,1,28049.034533825747,454,157,14,-0.17787427247606225,218,108039,2.7670022782341515,15.9108660984949,0.02930448163773073,0.6302120398080326,29.78645235013702,0.04395895144864458,5.045871559633028,400.0,0.0,495.591743119266,2074,198,0.0316227766016838,9.792304568534062e-05,0.0011883322196443152,-1.6445504177192727e-17,-0.00429265644588151,0.006475659988287335,0.004292656445881494,1,1.2196639887131637,1.1359850209694315,0.00790107345096742,0.08367896774373218,0,1.2196639887131637,1.1359850209694315,0.08367896774373218,0.00790107345096742,310.6315760612488
113375,1,31228.798412087206,462,8,15,-0.029896167907256466,222,109074,2.754857857090749,15.718806427124417,0.02483350477849322,0.40104246080966455,21.063345551614425,0.04005937650374793,2.7027027027027026,100.0,0.0,491.3243243243243,3950,183,0.0316227766016838,9.391638120858592e-05,0.0007612393998546469,2.906200175944539e-17,-0.004715451668371524,0.006671258233692768,0.004715451668371553,1,1.0431684141864535,0.962915896454908,0.009436425327902903,0.0802525177315454,0,1.0431684141864535,0.962915896454908,0.0802525177315454,0.009436425327902903,330.9538218975067
123215,1,34041.07182610325,524,62,16,-5.704272265730386,219,106730,2.7579946847334087,15.768191028632122,0.02398763932652124,0.28298801680108393,8.964286494797866,0.044680510527880204,3.65296803652968,400.0,0.0,487.351598173516,3788,195,0.0316227766016838,9.008826216727104e-05,0.0005244483807686446,1.0472145132796047e-16,-0.003730187477339218,0.006887289241063745,0.0037301874773393224,1,1.2760028541039308,1.2196270913307017,0.007715515276371741,0.05637576277322909,0,1.2760028541039308,1.2196270913307017,0.05637576277322909,0.007715515276371741,348.8714950084686
132492,1,38821.34600237248,525,1,17,0.036807232128996614,225,105375,2.7652214084789435,15.882556133942828,0.02197632718607407,0.18469455978681612,3.183951163352902,0.036310748586274214,1.3333333333333333,100.0,0.0,468.3333333333333,1540,163,0.0316227766016838,8.687707129624221e-05,0.0003658958571960489,-9.37513543797362e-17,-0.004253162071233392,0.008337077362112066,0.004253162071233298,1,1.2210332912163278,1.1721941052993974,0.007233772455722031,0.04883918591693037,1,1.2210332912163278,1.1721941052993974,0.04883918591693037,0.007233772455722031,368.00989985466003
142656,1,36642.73831133241,542,10,18,-73.34842662884499,199,107647,2.7603335480967552,15.805113834803041,0.022618875696296538,0.2880751812505425,8.729442739654653,0.03809813165672436,4.522613065326633,400.0,0.0,540.9396984924623,2892,188,0.0316227766016838,8.372496579166047e-05,0.00046751847305412955,5.847236563622586e-18,-0.004498285744555025,0.008534952878918608,0.004498285744555031,0,1.146681790608629,1.105213509210067,0.006640320809947509,0.04146828139856207,1,1.146681790608629,1.105213509210067,0.04146828139856207,0.006640320809947509,387.4753248691559
152502,1,28963.71170858792,584,42,19,-15.12109254366296,172,106708,2.741062715539287,15.503452104381413,0.024452064345229275,0.552762397534047,15.387599630045468,0.04083450254674914,11.046511627906977,400.0,0.0,620.3953488372093,3409,197,0.0316227766016838,8.097710202224227e-05,0.0007316708435717671,4.8669667672105e-17,-0.004334459413976337,0.006910750271403827,0.004334459413976386,1,1.166426156471657,1.0927525847468194,0.009477891508502626,0.07367357172483757,0,1.166426156471657,1.0927525847468194,0.07367357172483757,0.009477891508502626,406.56221413612366
159094,1,36092.16398741337,591,7,20,0.2109252386475473,212,105191,2.7480465838795016,15.612105140322447,0.02293638257706489,0.25691683362111223,4.349634351873683,0.03694641584357833,6.132075471698113,400.0,0.0,496.1839622641509,2315,180,0.0316227766016838,7.928172655560628e-05,0.0004132137609460484,3.022951613308894e-17,-0.004250360234055941,0.008252672996648157,0.0042503602340559716,1,1.3153257692382865,1.2499577066616694,0.006711630377916425,0.06536806257661709,1,1.3153257692382865,1.2499577066616694,0.06536806257661709,0.006711630377916425,424.8934483528137
